,,,Date,,Salesman GK,,Amount
"Jan 1, '23 - Jun 11, 26",,,,,,,
,,,03/18/2026,,,,"200,000.00"
,,,03/18/2026,,1432.97,,"15,500.00"
,,,03/18/2026,,19219.2,,"197,905.00"
,,,03/17/2026,,"6,447.1",,"135,364.00"
,,,03/17/2026,,"17,669.26",,"612,398.00"
,,,03/17/2026,,,,"1,500.00"
,,,03/17/2026,,"18,992.74",,"269,035.00"
,,,03/17/2026,,,,"20,000.00"
,,,03/17/2026,,3741.82,,"49,465.00"
,,,03/17/2026,,5772.94,,"169,590.00"
,,,03/17/2026,,"1,367.52",,"26,460.00"
,,,03/16/2026,,2210,,"73,800.00"
,,,03/16/2026,,,,"3,000.00"
,,,03/16/2026,,"22,086.04",,"758,630.00"
,,,03/16/2026,,,,"4,000.00"
,,,03/16/2026,,2294,,"49,550.00"
,,,03/16/2026,,,,"1,500.00"
,,,03/16/2026,,"34,570",,"1,632,960.00"
,,,03/16/2026,,,,"37,500.00"
,,,03/16/2026,,563.8,,"4,400.00"
,,,03/16/2026,,"2,343.5",,"24,798.00"
,,,03/16/2026,,"6,070.4",,"55,930.00"
,,,03/16/2026,,14653,,"307,990.00"
,,,03/16/2026,,14653,,"307,990.00"
,,,03/16/2026,,13289.58,,"403,945.00"
,,,03/16/2026,,17164.13,,"157,636.00"
,,,03/16/2026,,,,"4,940.00"
,,,03/16/2026,,2860 (7.56%),,"37,830.00"
,,,03/16/2026,,16492,,"48,783.00"
,,,03/13/2026,,1793.82,,0.00
,,,03/13/2026,,26838.23,,"329,869.00"
,,,03/13/2026,,3606,,"39,216.00"
,,,03/13/2026,,15900,,"271,200.00"
,,,03/13/2026,,1432.97,,"46,940.00"
,,,03/13/2026,,4480,,"72,468.00"
,,,03/12/2026,,2800 (7.77%),,"36,000.00"
,,,03/12/2026,,12470,,"330,800.00"
,,,03/12/2026,,"8,478.51",,"307,000.00"
,,,03/12/2026,,,,"3,000.00"
,,,03/12/2026,,"8,319.36",,"104,409.00"
,,,03/12/2026,,92,,"2,402.00"
,,,03/11/2026,,1051,,"14,800.00"
,,,03/11/2026,,10465,,"114,317.00"
,,,03/11/2026,,"43,260.83",,"474,571.00"
,,,03/11/2026,,,,0.00
,,,03/11/2026,,2294,,"14,396.00"
,,,03/11/2026,,"235,609.34",,"5,840,596.40"
,,,03/11/2026,,,,"2,234,304.00"
,,,03/11/2026,,"11,795",,"288,620.00"
,,,03/10/2026,,18997.68,,"215,394.00"
,,,03/10/2026,,1900,,"20,750.00"
,,,03/10/2026,,1755,,"22,750.00"
,,,03/10/2026,,7230,,"149,060.00"
,,,03/10/2026,,118,,"3,922.00"
,,,03/10/2026,,10905.13,,"188,109.00"
,,,03/10/2026,,,,500.00
,,,03/10/2026,,,,"16,250.00"
,,,03/10/2026,,13373.45,,"117,810.00"
,,,03/10/2026,,3300,,"87,560.00"
,,,03/10/2026,,5304,,"107,950.00"
,,,03/10/2026,,"1,269.29",,"18,177.00"
,,,03/10/2026,,11066.44,,"151,935.28"
,,,03/10/2026,,532.81,,"6,534.64"
,,,03/10/2026,,,,"25,000.00"
,,,03/10/2026,,"42,757.68",,"1,064,717.86"
,,,03/09/2026,,891.75,,"9,795.00"
,,,03/09/2026,,4653.36,,"137,964.00"
,,,03/09/2026,,,,"3,000.00"
,,,03/09/2026,,3167.05,,"65,017.52"
,,,03/09/2026,,,,"3,000.00"
,,,03/09/2026,,29176.75,,"439,021.00"
